country,food_category,consumption,co2_emmission,lat,lng
Kuwait,Beef,13.03,402.08,29.31166,47.481766
Kuwait,Lamb & Goat,15.61,546.66,29.31166,47.481766
Kuwait,Fish,11.99,19.14,29.31166,47.481766
Kuwait,Eggs,12.6,11.57,29.31166,47.481766
Kuwait,Milk - inc. cheese,157.66,224.57,29.31166,47.481766
Kuwait,Wheat and Wheat Products,96.76,18.45,29.31166,47.481766
Kuwait,Rice,43.83,56.09,29.31166,47.481766
Kuwait,Soybeans,0.06,0.03,29.31166,47.481766
Kuwait,Nuts inc. Peanut Butter,5.23,9.26,29.31166,47.481766
United Kingdom,Pork,25.79,91.28,55.378051,-3.435973
United Kingdom,Poultry,31.55,33.89,55.378051,-3.435973
United Kingdom,Beef,18.12,559.15,55.378051,-3.435973
United Kingdom,Lamb & Goat,4.49,157.24,55.378051,-3.435973
United Kingdom,Fish,15.49,24.73,55.378051,-3.435973
United Kingdom,Eggs,11.08,10.18,55.378051,-3.435973
United Kingdom,Milk - inc. cheese,232.2,330.75,55.378051,-3.435973
United Kingdom,Wheat and Wheat Products,98.63,18.81,55.378051,-3.435973
United Kingdom,Rice,6.39,8.18,55.378051,-3.435973
United Kingdom,Soybeans,0.05,0.02,55.378051,-3.435973
United Kingdom,Nuts inc. Peanut Butter,4.18,7.4,55.378051,-3.435973
Austria,Pork,52.56,186.04,47.516231,14.550072
Austria,Poultry,18.61,19.99,47.516231,14.550072
Austria,Beef,17.14,528.9,47.516231,14.550072
Austria,Lamb & Goat,1.16,40.62,47.516231,14.550072
Austria,Fish,12.16,19.42,47.516231,14.550072
Austria,Eggs,14.68,13.49,47.516231,14.550072
Austria,Milk - inc. cheese,258.09,367.62,47.516231,14.550072
Austria,Wheat and Wheat Products,81.1,15.47,47.516231,14.550072
Austria,Rice,3.7,4.73,47.516231,14.550072
Austria,Soybeans,2.06,0.93,47.516231,14.550072
Austria,Nuts inc. Peanut Butter,7.88,13.95,47.516231,14.550072
Oman,Pork,0.01,0.04,21.512583,55.923255
Oman,Poultry,31.51,33.85,21.512583,55.923255
Oman,Beef,15.1,465.95,21.512583,55.923255
Oman,Lamb & Goat,12.87,450.71,21.512583,55.923255
Oman,Fish,21.56,34.42,21.512583,55.923255
Oman,Eggs,7.8,7.17,21.512583,55.923255
Oman,Milk - inc. cheese,152.28,216.91,21.512583,55.923255
Oman,Wheat and Wheat Products,64.1,12.22,21.512583,55.923255
Oman,Rice,56.55,72.37,21.512583,55.923255
Oman,Soybeans,0.21,0.09,21.512583,55.923255
Oman,Nuts inc. Peanut Butter,1.68,2.97,21.512583,55.923255
Italy,Pork,40.28,142.57,41.87194,12.56738
Italy,Poultry,18.61,19.99,41.87194,12.56738
Italy,Beef,18.6,573.96,41.87194,12.56738
Italy,Lamb & Goat,0.92,32.22,41.87194,12.56738
Italy,Fish,15.6,24.91,41.87194,12.56738
Italy,Eggs,13.34,12.25,41.87194,12.56738
Italy,Milk - inc. cheese,246.88,351.66,41.87194,12.56738
Italy,Wheat and Wheat Products,146.37,27.91,41.87194,12.56738
Italy,Rice,5.74,7.35,41.87194,12.56738
Italy,Soybeans,0.01,0,41.87194,12.56738
Italy,Nuts inc. Peanut Butter,7.63,13.51,41.87194,12.56738
Bahamas,Pork,32.74,115.88,25.03428,-77.39628
Bahamas,Poultry,45.74,49.13,25.03428,-77.39628
Bahamas,Beef,19.92,614.69,25.03428,-77.39628
Bahamas,Lamb & Goat,5.22,182.8,25.03428,-77.39628
Bahamas,Fish,18.8,30.02,25.03428,-77.39628
Bahamas,Eggs,6.2,5.7,25.03428,-77.39628
Bahamas,Milk - inc. cheese,104.76,149.22,25.03428,-77.39628
Bahamas,Wheat and Wheat Products,39.98,7.62,25.03428,-77.39628
Bahamas,Rice,23.97,30.67,25.03428,-77.39628
Bahamas,Soybeans,0.09,0.04,25.03428,-77.39628
Bahamas,Nuts inc. Peanut Butter,4.03,7.13,25.03428,-77.39628
Portugal,Pork,37.91,134.18,39.399872,-8.224454
Portugal,Poultry,30.14,32.38,39.399872,-8.224454
Portugal,Beef,16.45,507.61,39.399872,-8.224454
Portugal,Lamb & Goat,2.38,83.35,39.399872,-8.224454
Portugal,Fish,45.39,72.47,39.399872,-8.224454
Portugal,Eggs,9.05,8.31,39.399872,-8.224454
Portugal,Milk - inc. cheese,205.04,292.06,39.399872,-8.224454
Portugal,Wheat and Wheat Products,94.3,17.98,39.399872,-8.224454
Portugal,Rice,14.86,19.02,39.399872,-8.224454
Portugal,Soybeans,0.01,0,39.399872,-8.224454
Portugal,Nuts inc. Peanut Butter,3.91,6.92,39.399872,-8.224454
Malta,Pork,34.24,121.19,35.937496,14.375416
Malta,Poultry,26.4,28.36,35.937496,14.375416
Malta,Beef,19.22,593.09,35.937496,14.375416
Malta,Lamb & Goat,1.19,41.67,35.937496,14.375416
Malta,Fish,24.58,39.25,35.937496,14.375416
Malta,Eggs,11.64,10.69,35.937496,14.375416
Malta,Milk - inc. cheese,190.06,270.72,35.937496,14.375416
Malta,Wheat and Wheat Products,139.58,26.62,35.937496,14.375416
Malta,Rice,4.96,6.35,35.937496,14.375416
Malta,Soybeans,0.05,0.02,35.937496,14.375416
Malta,Nuts inc. Peanut Butter,5.62,9.95,35.937496,14.375416
Armenia,Pork,9.67,34.23,40.069099,45.038189
Armenia,Poultry,13.35,14.34,40.069099,45.038189
Armenia,Beef,19.66,606.67,40.069099,45.038189
Armenia,Lamb & Goat,3.02,105.76,40.069099,45.038189
Armenia,Fish,4.36,6.96,40.069099,45.038189
Armenia,Eggs,11.69,10.74,40.069099,45.038189
Armenia,Milk - inc. cheese,209.03,297.74,40.069099,45.038189
Armenia,Wheat and Wheat Products,130.6,24.91,40.069099,45.038189
Armenia,Rice,3.18,4.07,40.069099,45.038189
Armenia,Soybeans,0,0,40.069099,45.038189
Armenia,Nuts inc. Peanut Butter,2.55,4.51,40.069099,45.038189
Slovenia,Pork,28.19,99.78,46.151241,14.995463
Slovenia,Poultry,23.46,25.2,46.151241,14.995463
Slovenia,Beef,18.43,568.71,46.151241,14.995463
Slovenia,Lamb & Goat,0.79,27.67,46.151241,14.995463
Slovenia,Fish,7.76,12.39,46.151241,14.995463
Slovenia,Eggs,9.36,8.6,46.151241,14.995463
Slovenia,Milk - inc. cheese,235.01,334.75,46.151241,14.995463
Slovenia,Wheat and Wheat Products,103.43,19.72,46.151241,14.995463
Slovenia,Rice,3.95,5.05,46.151241,14.995463
Slovenia,Soybeans,0.75,0.34,46.151241,14.995463
Slovenia,Nuts inc. Peanut Butter,5.28,9.35,46.151241,14.995463
Chile,Pork,24.68,87.35,-35.675147,-71.542969
Chile,Poultry,36.52,39.23,-35.675147,-71.542969
Chile,Beef,23.86,736.27,-35.675147,-71.542969
Chile,Lamb & Goat,0.42,14.71,-35.675147,-71.542969
Chile,Fish,7.65,12.21,-35.675147,-71.542969
Chile,Eggs,9.97,9.16,-35.675147,-71.542969
Chile,Milk - inc. cheese,116.11,165.39,-35.675147,-71.542969
